iter	Logloss
0	0.6920351452
1	0.6904057397
2	0.6894338396
3	0.6871685452
4	0.686167717
5	0.6854951647
6	0.684287866
7	0.6836432351
8	0.6821752124
9	0.6809346411
10	0.6799865299
11	0.6789330377
12	0.6777213415
13	0.6773393419
14	0.6767997742
15	0.6757505735
16	0.6750656234
17	0.6740199195
18	0.673473729
19	0.6726138327
20	0.6720812056
21	0.6712618934
22	0.66986031
23	0.6690937678
24	0.6681471931
25	0.6675897174
26	0.6667924987
27	0.6657075882
28	0.6651802063
29	0.6644291348
30	0.6633177333
31	0.6626881493
32	0.6618542141
33	0.6607889599
34	0.6598953141
35	0.6592943933
36	0.6575895945
37	0.6572685242
38	0.6561613083
39	0.6555449168
40	0.6553124852
41	0.6549104585
42	0.6542367405
43	0.6537392404
44	0.6533149083
45	0.6530039046
46	0.6524070104
47	0.6517894533
48	0.6514411502
49	0.6506622103
50	0.6497091717
51	0.6492822435
52	0.6489179399
53	0.6479236285
54	0.647052447
55	0.6460619503
56	0.6459524896
57	0.645374669
58	0.6447942522
59	0.6441509459
60	0.643374655
61	0.6427607536
62	0.64231152
63	0.6412567563
64	0.640399509
65	0.6399416394
66	0.6394220988
67	0.6386166149
68	0.6383049753
69	0.6378071573
70	0.6373705334
71	0.63671875
72	0.6361340417
73	0.6350358327
74	0.6348026064
75	0.6342225075
76	0.6332071092
77	0.6318831444
78	0.6308629778
79	0.6302908262
80	0.6296447118
81	0.6280222999
82	0.6275900205
83	0.6268785795
84	0.625333733
85	0.6250171661
86	0.6246080399
87	0.6239302953
88	0.6231108771
89	0.622938633
90	0.6227064133
91	0.6221338908
92	0.6217158635
93	0.6207778189
94	0.6202109655
95	0.6197143131
96	0.6191937659
97	0.6187387572
98	0.6178341442
99	0.6171797117
